id,term,definition,sort_order,updated_at,updated_by
7e68283b-ce14-4f8a-a9b6-3e22b9adbc6d,Highly Flammable Plants,"Characteristics of ""Highly Flammable Plants"":\n-- have low moisture content during fire season.  The moisture content of plants changes by time of day and year, climate and weather, maintenace regime, and more.  Because of a high variability, moisture content alone is not the best indicator of ignition potential. \n-- Plants have waxy or oily leaves or fragrant foliage because of chemical content. \n-- Plant structure is dense or retains dead materials, particularly fine debris.\n-- Plants sheds a lot of bark, needles, leaves, or branches that accumlates on, within, or under the plant.\n-- Plants have invasive qualities or climb/sprawl creating either horizontally or vertically continuous fuels.\n-- Plants are prone to disease causing portions or all of the plant to die.",15,2025-12-08T22:40:10.969Z,import-script
9a85f734-1912-4b8c-b91d-b877e5bc7674,HIZ 0-5,The area that extends from the home or other structure out 5 ft. No plants or other combustibles should occupy this area. .,16,2025-12-08T22:40:10.969Z,import-script
23b89021-b57b-4a87-a144-b9af1bbcc0ff,HIZ 5-10,The area that extends from 5-10 ft from the home and other flammable structures.  Only fire-resistent plants should be planted in this zone.,17,2025-12-08T22:40:10.969Z,import-script
35f3c733-d40c-4fa6-9f27-c2bb801bfb26,HIZ 10-30,"The area that extends from 10-30 ft from the home and other flammable structures. Low flammability plants should dominate this zone but some moderately flammable plants may be planted in the area if they are isolated and ""properly maintained.""",18,2025-12-08T22:40:10.969Z,import-script
04a0192e-13c8-41ee-a061-16e277712b94,HIZ 30-100,Extends from 30-100 ft from the home. The density and arrangement of zone 2 fire-resistant plants needs to be controlled to break-up horizontal and vertical continuity.,19,2025-12-08T22:40:10.969Z,import-script
1f5fece2-3c26-4d3d-8de7-0235c8557377,HIZ 50-100,Extends from 50-100ft from the home. Idano Zone 3 rated plants may need to be pruned and thinning regularly to achieve and maintain fire-resistant plant characteristics.,20,2025-12-08T22:40:10.969Z,import-script
809e3dfb-1485-4f16-adf9-3de4730f905e,Invasive species/qualities,"A plant that is able to establish on many sites, grow quickly, and spread to the point of disrupting plant communities or ecosystems.",21,2025-12-08T22:40:10.969Z,import-script
aa4eb60f-48e7-4149-a9e5-ce152d3a5510,Noxious weed,"An invasive species of a plant which is designated as harmful to agricultural crops, ecosystems, or humans or livestock. WSU",22,2025-12-08T22:40:10.969Z,import-script
e0389ee2-aa24-44eb-a0c5-ce995a01672f,Oregon native plant,"An Oregon ""native plant"" grows in the wild without cultivation in the State of Oregon.  A ""naturalized plant"" is not considered ""native"" in this context.",23,2025-12-08T22:40:10.969Z,import-script
dd3d4a7d-c6c6-4bd0-af76-89df9af1743e,Perennial plant or herb,"A plant with soft, rather than woody, tissues. Perennials die back to the ground each year but their roots remain alive and send up new top growth each spring. (WSU) A perennial plant or simply perennial is a plant that lives more than two years. The term is often used to differentiate a plant from shorter-lived annuals and biennials. The term is also widely used to distinguish plants with little or no woody growth from trees and shrubs, which are also technically perennials. Wikipedia",24,2025-12-08T22:40:10.969Z,import-script
4ad3a169-7ff4-49ac-ae31-d444031fd1e3,Properly maintained,"In addition to proper siting of plants, it is important to properly maintain landscaping plants by: \n--removing dead vegetation, such as fallen leaves and needles, dead branches, dried grass and dry flowers, prior to and throughout fire season.\n--irrigating sufficiently to maintain high plant moisture content during fire season.\n--removing low tree branches to a height of at least 10 feet. Also remove small trees and shrubs from under the tree canopy. This will help prevent a surface fire from reaching the tree canopy. Do not remove more than a third of the total tree branches. (UNE)",25,2025-12-08T22:40:10.969Z,import-script
cd6d67e3-611f-45f0-a5ad-f50e6966c9c8,Screen plant,"Trees and shrubs that serve a screening function and are considered fire-resistant  do  not  readily  ignite  from  an  ember  or  other  ignition sources. These plants can be damaged or even killed by fire; however, their foliage and stems  do  not  significantly  contribute  to  the  fuel  load  and  therefore,  the  fire’s  intensity (Simes, 2012).",26,2025-12-08T22:40:10.969Z,import-script
9cc4f7b1-3e74-4728-94f4-5f235a1ab890,Shrub,"A woody perennial plant differing from a perennial herb by its persistent and woody stem, and from a tree by its low stature and habit of branching from the base. (WSU) A shrub is a small- to medium-sized perennial woody plant. Unlike herbaceous plants, shrubs have persistent woody stems above the ground. Shrubs can be deciduous or evergreen. They are distinguished from trees by their multiple stems and shorter height, less than 6–10 m tall. Wikipedia",27,2025-12-08T22:40:10.969Z,import-script
213ad6f7-1653-4b88-9e2f-37e04cef388d,Tree,"A woody perennial plant, typically having a single stem or trunk growing to a considerable height and bearing lateral branches at some distance from the ground. (WSU)  In botany, a tree is a perennial plant with an elongated stem, or trunk, supporting branches and leaves in most species. In some usages, the definition of a tree may be narrower, including only wood plants with secondary growth, plants that are usable as lumber or plants above a specified height. Wikipedia",28,2025-12-08T22:40:10.969Z,import-script
9a2d2c7c-0799-48c8-84b5-0b14f6b28f36,Vine,"A plant having a long, slender stem that trails or creeps on the ground or climbs by winding itself about a support or holding fast with tendrils or claspers. (UW)  A vine is any plant with a growth habit of trailing or scandent stems, lianas or runners. The word vine can also refer to such stems or runners themselves, for instance, when used in wicker work. Wikipedia",29,2025-12-08T22:40:10.969Z,import-script
97cf3adc-68ac-4d6b-889b-211ad32cd724,Water Need,"Water need may be assumed to mean the relative amount of water a plant needs to survive and reproduce. The amount of water varies seasonally.  In this database, water need is assigned a relative value on a scale from high to very low. Ascription of water need is made by the sources listed.  In general, the sources that identified water need used a graphic such as a bucket with differing water levels or words like high, moderate, moderately-low, low, and very low.",30,2025-12-08T22:40:10.969Z,import-script
774427c5-7618-40a3-bbf1-905fba59ae5a,Wildlife Value,"The plant has properties or features that support wildlife generally, or birds, bats, and pollinators specifically as a host* or food source.",31,2025-12-08T22:40:10.969Z,import-script
10d35306-90c9-4ab9-a78b-1b81f938be9a,WSU LZ1,"0-5 feet if the structure has one-hour flame-resistant siding OR 0-10 feet if the structure has non-flame-resistant siding. In this zone, use plants and materials with very low ignition potential. Plant no trees of shrubs and use only inorganic mulch.",32,2025-12-08T22:40:10.969Z,import-script
273b43ae-d461-42d9-bc6d-072908d79428,WSU LZ2,5-30 feet from the house or structure,33,2025-12-08T22:40:10.969Z,import-script
8d1a4a2e-dbdb-451e-bcef-6e86e907bbe1,WSU LZ3,30 -100 feet from the house or structure,34,2025-12-08T22:40:10.969Z,import-script
