common_name,scientific_name,size_feet,firewise_rating,firewise_rating_code,firewise_rating_label,landscape_zone,slug
bitternut hickory,Carya cordiformis,50',Firewise (1),1,Firewise,LZ3,carya-cordiformis
bittersweet,Celastrus orbiculata,50',NOT Firewise (4),4,Not Firewise,LZ4,celastrus-orbiculata
black ash,Fraxinus nigra,50',Firewise (1),1,Firewise,LZ3,fraxinus-nigra
black birch,Betula lenta,50',Firewise (1),1,Firewise,LZ3,betula-lenta
black chokeberry,Aronia melanocarpa,10',Firewise (1),1,Firewise,LZ2,aronia-melanocarpa
black gum or sour gum,Nyssa sylvatica,50',Firewise (1),1,Firewise,LZ3,nyssa-sylvatica
black jetbead,Rhodotypos scandens,6',AT RISK Firewise (3),3,At Risk Firewise,LZ2,rhodotypos-scandens
black locust,Robinia pseudoacacia,50',MODERATELY Firewise (2),2,Moderately Firewise,LZ3,robinia-pseudoacacia
black maple,Acer nigrum,50',MODERATELY Firewise (2),2,Moderately Firewise,LZ3,acer-nigrum
black mulberry,Morus nigra,30',Firewise (1),1,Firewise,LZ3,morus-nigra
black oak,Quercus velutina,50',Firewise (1),1,Firewise,LZ3,quercus-velutina
black walnut,Juglans nigra,50',Firewise (1),1,Firewise,LZ3,juglans-nigra
black willow,Salix nigra,100.0',Firewise (1),1,Firewise,LZ3,salix-nigra
blackhaw viburnum,Viburnum prunifolium,20',MODERATELY Firewise (2),2,Moderately Firewise,LZ3,viburnum-prunifolium
blackjack oak,Quercus marilandica,40',Firewise (1),1,Firewise,LZ3,quercus-marilandica
bladdernut,Staphylea trifolia,8',AT RISK Firewise (3),3,At Risk Firewise,LZ2,staphylea-trifolia
blireana plum,Prunus x blireana,15',MODERATELY Firewise (2),2,Moderately Firewise,LZ3,prunus-x-blireana
blue ash,Fraxinus quadrangulata,75',Firewise (1),1,Firewise,LZ3,fraxinus-quadrangulata
bluebeard,Caryopteris xclandoensis,2',Firewise (1),1,Firewise,LZ2,caryopteris-xclandoensis
bog laurel,Kalmia polifolia,2',MODERATELY Firewise (2),2,Moderately Firewise,LZ2,kalmia-polifolia
bog rosemary,Andromeda polifolia,2',Firewise (1),1,Firewise,LZ2,andromeda-polifolia
Boston ivy,Parthenocissus tricuspidata,30',NOT Firewise (4),4,Not Firewise,LZ2,parthenocissus-tricuspidata
bottlebrush,Callistemon citrinus,10',MODERATELY Firewise (2),2,Moderately Firewise,LZ2,callistemon-citrinus
bottlebrush buckeye,Aesculus parviflora,8',MODERATELY Firewise (2),2,Moderately Firewise,LZ2,aesculus-parviflora
boxelder,Acer negundo,50',MODERATELY Firewise (2),2,Moderately Firewise,LZ3,acer-negundo
bridalwreath spirea,Spirea prunifolia,8',AT RISK Firewise (3),3,At Risk Firewise,LZ2,spirea-prunifolia
bristly locust,Robinia hispida,12',AT RISK Firewise (3),3,At Risk Firewise,LZ2,robinia-hispida
bumald spirea,Spirea xbulmalda,4',AT RISK Firewise (3),3,At Risk Firewise,LZ2,spirea-xbulmalda
bur oak,Quercus macrocarpa,100.0',Firewise (1),1,Firewise,LZ3,quercus-macrocarpa
burford Chinese holly,Ilex cornuta 'Burfordii',15',AT RISK Firewise (3),3,At Risk Firewise,LZ3,ilex-cornuta-burfordii
bush-honeysuckle,Diervilla lonicera,5',MODERATELY Firewise (2),2,Moderately Firewise,LZ2,diervilla-lonicera
butterflybush,Buddleja davidii,10',AT RISK Firewise (3),3,At Risk Firewise,LZ2,buddleja-davidii
butternut,Juglans cinerea,25',Firewise (1),1,Firewise,LZ3,juglans-cinerea
buttonbush,Cephalanthus occidentalis,12',MODERATELY Firewise (2),2,Moderately Firewise,LZ2,cephalanthus-occidentalis
callery pear,Pyrus calleryana,40',AT RISK Firewise (3),3,At Risk Firewise,LZ3,pyrus-calleryana
Canada serviceberry,Amelanchier canadensis,20',Firewise (1),1,Firewise,LZ2,amelanchier-canadensis
Canadian hemlock,Tsuga canadensis,100.0',NOT Firewise (4),4,Not Firewise,LZ3,tsuga-canadensis
Canary palm,Phoenix canariensis,30',NOT Firewise (4),4,Not Firewise,LZ3,phoenix-canariensis
Canby's mountain-lover,Paxistima canbyi,4',MODERATELY Firewise (2),2,Moderately Firewise,LZ2,paxistima-canbyi
candytuft,Iberis sempervirens,1',AT RISK Firewise (3),3,At Risk Firewise,LZ1,iberis-sempervirens
Carolina allspice,Calycanthus floridus,8',MODERATELY Firewise (2),2,Moderately Firewise,LZ2,calycanthus-floridus
Carolina buckthorn,Rhamnus caroliniana,25',AT RISK Firewise (3),3,At Risk Firewise,LZ2,rhamnus-caroliniana
Carolina hemlock,Tsuga caroliniana,50',NOT Firewise (4),4,Not Firewise,LZ3,tsuga-caroliniana
Carolina jessamine,Gelsemium sempervirens,25',NOT Firewise (4),4,Not Firewise,LZ4,gelsemium-sempervirens
Carolina rhododendron,Rhododendron minus,6',AT RISK Firewise (3),3,At Risk Firewise,LZ2,rhododendron-minus
Carolina Safire Arizona cypress,Cupressus glabra 'Carolina Safire',35',NOT Firewise (4),4,Not Firewise,LZ3,cupressus-glabra-carolina-safire
Carolina sillverbell,Halesia tetraptera,20',Firewise (1),1,Firewise,LZ3,halesia-tetraptera
castor aralia,Kalopanax pictus,15',NOT Firewise (4),4,Not Firewise,LZ3,kalopanax-pictus
catawba rhododendron,Rhododendron catawbiense,10',AT RISK Firewise (3),3,At Risk Firewise,LZ2,rhododendron-catawbiense
cedar of Lebanon,Cedrus libani,50',NOT Firewise (4),4,Not Firewise,LZ3,cedrus-libani
chastetree,Vitex agnus-castus,10',AT RISK Firewise (3),3,At Risk Firewise,LZ2,vitex-agnuscastus
cherry-Laurel,Prunus caroliniana,25',AT RISK Firewise (3),3,At Risk Firewise,LZ2,prunus-caroliniana
cherry-laurel,Prunus lauracerasus,5',AT RISK Firewise (3),3,At Risk Firewise,LZ2,prunus-lauracerasus
chestnut oak,Quercus prinus,50',Firewise (1),1,Firewise,LZ3,quercus-prinus
Chickasaw plum,Prunus angustifolia,15',AT RISK Firewise (3),3,At Risk Firewise,LZ2,prunus-angustifolia
Chinaberry,Melia azedarach,40',MODERATELY Firewise (2),2,Moderately Firewise,LZ3,melia-azedarach
Chinese chestnut,Castanea mollissima,40',MODERATELY Firewise (2),2,Moderately Firewise,LZ3,castanea-mollissima
Chinese juniper,Juniperus chinensis,12',NOT Firewise (4),4,Not Firewise,LZ3,juniperus-chinensis
Chinese photinia,Photinia serrulata,25',MODERATELY Firewise (2),2,Moderately Firewise,LZ3,photinia-serrulata
Chinese privit,Ligustrum sinensis,15',AT RISK Firewise (3),3,At Risk Firewise,LZ3,ligustrum-sinensis
chinquapin,Castanea pumila,15',AT RISK Firewise (3),3,At Risk Firewise,LZ3,castanea-pumila
chinquapin oak,Quercus muehlenbergii,40',Firewise (1),1,Firewise,LZ3,quercus-muehlenbergii
choke cherry,Prunus virginiana,50',,,,LZ3,prunus-virginiana
cinnamon clethra,Clethra acuminata,6',MODERATELY Firewise (2),2,Moderately Firewise,LZ2,clethra-acuminata
citrus,Citrus spp.,20',AT RISK Firewise (3),3,At Risk Firewise,LZ3,citrus-spp
Coast azalea,Rhododendron atlanticum,8',Firewise (1),1,Firewise,LZ2,rhododendron-atlanticum
coast leucothoe,Leucothoe axillaris,5',AT RISK Firewise (3),3,At Risk Firewise,LZ2,leucothoe-axillaris
coast redwood,Sequoia sempervirens,300.0',NOT Firewise (4),4,Not Firewise,LZ3,sequoia-sempervirens
cockspur hawthorn,Crataegus crus-galli,25',Firewise (1),1,Firewise,LZ3,crataegus-crusgalli
Colorado spruce,Picea pungens,75',NOT Firewise (4),4,Not Firewise,LZ3,picea-pungens
common boxwood,Buxus sempervirens,25',AT RISK Firewise (3),3,At Risk Firewise,LZ3,buxus-sempervirens
common flowering-quince,Chaenomeles speciosa,10',MODERATELY Firewise (2),2,Moderately Firewise,LZ2,chaenomeles-speciosa
common juniper,Juniperus communis,12',NOT Firewise (4),4,Not Firewise,LZ2,juniperus-communis
common lilac,Syringa vulgaris,12',Firewise (1),1,Firewise,LZ2,syringa-vulgaris
common pricklyash,Zanthoxylum americanum,12',MODERATELY Firewise (2),2,Moderately Firewise,LZ2,zanthoxylum-americanum
common privit,Ligustrum vulgare,20',AT RISK Firewise (3),3,At Risk Firewise,LZ3,ligustrum-vulgare
common witchhazel,Hamamelis virginiana,8',Firewise (1),1,Firewise,LZ3,hamamelis-virginiana
confederate jasmine,Trachelospermum jasminoides,35',AT RISK Firewise (3),3,At Risk Firewise,LZ2,trachelospermum-jasminoides
contorted filbert,Corylus avellana 'Contorted',6',AT RISK Firewise (3),3,At Risk Firewise,LZ2,corylus-avellana-contorted
contorted willow,Salix matsudana 'Tortuosa',40',Firewise (1),1,Firewise,LZ3,salix-matsudana-tortuosa
corktree,Phellodendron amurense,40',MODERATELY Firewise (2),2,Moderately Firewise,LZ3,phellodendron-amurense
corneliancherry dogwood,Cornus mas,25',Firewise (1),1,Firewise,LZ3,cornus-mas
cottonwood,Populus deltoides,50',MODERATELY Firewise (2),2,Moderately Firewise,LZ3,populus-deltoides
crabapple,Malus hupehensis,20',MODERATELY Firewise (2),2,Moderately Firewise,LZ3,malus-hupehensis
crabapple,Malus spectabilis,20',MODERATELY Firewise (2),2,Moderately Firewise,LZ3,malus-spectabilis
cranberry cotoneaster,Cotoneaster apiculata,3',MODERATELY Firewise (2),2,Moderately Firewise,LZ2,cotoneaster-apiculata
crape myrtle,Lagerstroemia indica,15',Firewise (1),1,Firewise,LZ3,lagerstroemia-indica
creeping juniper,Juniperus horizontalis,1',NOT Firewise (4),4,Not Firewise,LZ2,juniperus-horizontalis
creeping mahonia,Mahonia repens,2',MODERATELY Firewise (2),2,Moderately Firewise,LZ2,mahonia-repens
cross-vine,Bignonia capreolata,25',NOT Firewise (4),4,Not Firewise,LZ4,bignonia-capreolata
cucumber magnolia,Magnolia acuminata,70',Firewise (1),1,Firewise,LZ3,magnolia-acuminata
cumberland azalea,Rhododendron bakeri,8',Firewise (1),1,Firewise,LZ2,rhododendron-bakeri
cutleaf buckthorn,Rhamnus frangula 'Asplenifolia',20',AT RISK Firewise (3),3,At Risk Firewise,LZ3,rhamnus-frangula-asplenifolia
dahoon holly,Ilex cassine,15',AT RISK Firewise (3),3,At Risk Firewise,LZ3,ilex-cassine
daphne,Daphne odora,5',MODERATELY Firewise (2),2,Moderately Firewise,LZ2,daphne-odora
dawn redwood,Metasequoia glyptostroboides,75',MODERATELY Firewise (2),2,Moderately Firewise,LZ3,metasequoia-glyptostroboides
deerberry,Vaccinium stamineum,3',AT RISK Firewise (3),3,At Risk Firewise,LZ2,vaccinium-stamineum
deodara cedar,Cedrus deodara,50',NOT Firewise (4),4,Not Firewise,LZ3,cedrus-deodara
devil's walkingstick,Aralia spinosa,30',MODERATELY Firewise (2),2,Moderately Firewise,LZ3,aralia-spinosa
doublefile viburnum,Viburnum plicatum var. tomentosum,10',Firewise (1),1,Firewise,LZ3,viburnum-plicatum-var-tomentosum
douglas fir,Pseudotsuga menziesii,75',NOT Firewise (4),4,Not Firewise,LZ4,pseudotsuga-menziesii
downy serviceberry,Amelanchier arborea,25',Firewise (1),1,Firewise,LZ2,amelanchier-arborea
drooping leucothoe,Leucothoe fontanesiana,8',AT RISK Firewise (3),3,At Risk Firewise,LZ2,leucothoe-fontanesiana
dutchman's pipe,Aristolochia macrophylla,50',NOT Firewise (4),4,Not Firewise,LZ4,aristolochia-macrophylla
dwarf fothergilla,Fothergilla gardenii,6',MODERATELY Firewise (2),2,Moderately Firewise,LZ2,fothergilla-gardenii
eastern red cedar,Juniperus virginiana,50',NOT Firewise (4),4,Not Firewise,LZ3,juniperus-virginiana
elderberry,Sambucus canadensis,8',AT RISK Firewise (3),3,At Risk Firewise,LZ2,sambucus-canadensis
empresstree,Paulownia tomentosa,50',MODERATELY Firewise (2),2,Moderately Firewise,LZ3,paulownia-tomentosa
English holly,Ilex aquifolium,15',AT RISK Firewise (3),3,At Risk Firewise,LZ3,ilex-aquifolium
English ivy,Hedera helix,40',NOT Firewise (4),4,Not Firewise,LZ3,hedera-helix
English oak,Quercus robur,50',Firewise (1),1,Firewise,LZ3,quercus-robur
English walnut,Juglans regia,35',Firewise (1),1,Firewise,LZ3,juglans-regia
English yew,Taxus baccata,15',NOT Firewise (4),4,Not Firewise,LZ2,taxus-baccata
eucalyptus,Eucalyptus spp.,50',NOT Firewise (4),4,Not Firewise,LZ3,eucalyptus-spp
European alder,Alnus glutinosa,50',AT RISK Firewise (3),3,At Risk Firewise,LZ3,alnus-glutinosa
European beech,Fagus sylvatica,100.0',Firewise (1),1,Firewise,LZ3,fagus-sylvatica
European cranberry highbush viburnum,Viburnum opulus,15',Firewise (1),1,Firewise,LZ2,viburnum-opulus
European euonymus,Euonymus europaeus,25',MODERATELY Firewise (2),2,Moderately Firewise,LZ3,euonymus-europaeus
European filbert,Corylus colurna,25',Firewise (1),1,Firewise,LZ3,corylus-colurna
European fly honeysuckle,Lonicera xylosteum,10',AT RISK Firewise (3),3,At Risk Firewise,LZ3,lonicera-xylosteum
European hophornbeam,Ostrya carpinifolia,25',MODERATELY Firewise (2),2,Moderately Firewise,LZ3,ostrya-carpinifolia
European hornbeam,Carpinus betulus,35',Firewise (1),1,Firewise,LZ2,carpinus-betulus
European larch,Larix decidua,50',AT RISK Firewise (3),3,At Risk Firewise,LZ3,larix-decidua
European linden,Tilia x 'Euchlora',35',Firewise (1),1,Firewise,LZ3,tilia-x-euchlora
European mountain-ash,Sorbus aucuparia,12',Firewise (1),1,Firewise,LZ3,sorbus-aucuparia
European white birch,Betula pendula,50',Firewise (1),1,Firewise,LZ3,betula-pendula
evergreen eleagnus,Elaeagnus pungens,15',NOT Firewise (4),4,Not Firewise,LZ3,elaeagnus-pungens
evergreen privit,Ligustrum lucidum,20',NOT Firewise (4),4,Not Firewise,LZ3,ligustrum-lucidum
exbury hybrid azalea,Rhododendron 'Exbury',7',Firewise (1),1,Firewise,LZ2,rhododendron-exbury
fall firebush,Euonymus alatus,10',Firewise (1),1,Firewise,LZ2,euonymus-alatus
fig,Ficus carica,15',MODERATELY Firewise (2),2,Moderately Firewise,LZ3,ficus-carica
firethorn or pyracantha,Pyracantha coccinea,15',NOT Firewise (4),4,Not Firewise,LZ2,pyracantha-coccinea
five-leaf akebia,Akebia quinata,50',NOT Firewise (4),4,Not Firewise,LZ4,akebia-quinata
flame azalea,Rhododendron calendulaceum,8',Firewise (1),1,Firewise,LZ2,rhododendron-calendulaceum
Florida anise,Illicium floridanum,8',AT RISK Firewise (3),3,At Risk Firewise,LZ2,illicium-floridanum
Florida torreya,Torreya taxifolia,8',NOT Firewise (4),4,Not Firewise,LZ2,torreya-taxifolia
flowering dogwood,Cornus florida,15',Firewise (1),1,Firewise,LZ2,cornus-florida
forsythia,Forsythia xintermedia,12',MODERATELY Firewise (2),2,Moderately Firewise,LZ2,forsythia-xintermedia
fortune's osmanthus,Osmanthus x fortunei,8',AT RISK Firewise (3),3,At Risk Firewise,LZ2,osmanthus-x-fortunei
Foster holly,Ilex x attenuata hybrids,20',AT RISK Firewise (3),3,At Risk Firewise,LZ3,ilex-x-attenuata-hybrids
fountaingrass,Pennisetum spp.,8',NOT Firewise (4),4,Not Firewise,LZ4,pennisetum-spp
fragrant honeysuckle,Lonicera sempervirens,10',AT RISK Firewise (3),3,At Risk Firewise,LZ3,lonicera-sempervirens
fragrant osmanthus,Osmanthus fragrans,25',NOT Firewise (4),4,Not Firewise,LZ3,osmanthus-fragrans
fragrant sumac,Rhus aromatica,5',Firewise (1),1,Firewise,LZ2,rhus-aromatica
franklinia,Franklinia alatamaha,20',MODERATELY Firewise (2),2,Moderately Firewise,LZ3,franklinia-alatamaha
fraser magnolia,Magnolia fraseri,30',AT RISK Firewise (3),3,At Risk Firewise,LZ3,magnolia-fraseri
frazer fir,Abies frazeri,60',AT RISK Firewise (3),3,At Risk Firewise,LZ4,abies-frazeri
freeman maple,Acer x freemanii,50',MODERATELY Firewise (2),2,Moderately Firewise,LZ3,acer-x-freemanii
fringe flower,Loropetalum chinensis,4',AT RISK Firewise (3),3,At Risk Firewise,LZ2,loropetalum-chinensis
fringetree,Chionanthus virginicus,12',MODERATELY Firewise (2),2,Moderately Firewise,LZ2,chionanthus-virginicus
fullmoon maple,Acer japonicum,10',Firewise (1),1,Firewise,LZ3,acer-japonicum
gardenia,Gardenia jasminoides,12',AT RISK Firewise (3),3,At Risk Firewise,LZ2,gardenia-jasminoides
giant cane,Arundo donax,15',NOT Firewise (4),4,Not Firewise,LZ4,arundo-donax
giant dogwood,Cornus controversa,50',Firewise (1),1,Firewise,LZ3,cornus-controversa
giant sequoia,Sequoiadendron giganteum,150.0',NOT Firewise (4),4,Not Firewise,LZ3,sequoiadendron-giganteum
ginkgo,Ginkgo biloba,100.0',Firewise (1),1,Firewise,LZ3,ginkgo-biloba
glossy abelia,Abelia grandiflora,6',MODERATELY Firewise (2),2,Moderately Firewise,LZ2,abelia-grandiflora
golden-larch,Pseudolarix kaempferi,50',NOT Firewise (4),4,Not Firewise,LZ3,pseudolarix-kaempferi
goldenchaintree,Laburnum x watereri,20',MODERATELY Firewise (2),2,Moderately Firewise,LZ3,laburnum-x-watereri
goldenraintree,Koelreuteria paniculata,35',Firewise (1),1,Firewise,LZ3,koelreuteria-paniculata
gordonia,Gordonia lasianthus,25',AT RISK Firewise (3),3,At Risk Firewise,LZ3,gordonia-lasianthus
grape,Vitus spp.,100.0',NOT Firewise (4),4,Not Firewise,LZ4,vitus-spp
gray dogwood,Cornus racemosa,15',Firewise (1),1,Firewise,LZ2,cornus-racemosa
green ash,Fraxinus pennsylvanica,50',Firewise (1),1,Firewise,LZ3,fraxinus-pennsylvanica
grey birch,Betula populifolia,50',Firewise (1),1,Firewise,LZ3,betula-populifolia
grey santolina,Santolina chamaecyparis,1',AT RISK Firewise (3),3,At Risk Firewise,LZ2,santolina-chamaecyparis
groundsel tree,Baccharis halmifolia,12',NOT Firewise (4),4,Not Firewise,LZ2,baccharis-halmifolia
hackberry,Celtis occidentalis,50',Firewise (1),1,Firewise,LZ3,celtis-occidentalis
hardy orange,Poncirus trifoliata,15',MODERATELY Firewise (2),2,Moderately Firewise,LZ2,poncirus-trifoliata
harlequin glorybower clerodendron,Clerodendron trichotomum,12',AT RISK Firewise (3),3,At Risk Firewise,LZ2,clerodendron-trichotomum
heather,Calluna vulgaris,2',AT RISK Firewise (3),3,At Risk Firewise,LZ2,calluna-vulgaris
hedge maple,Acer campestre,35',MODERATELY Firewise (2),2,Moderately Firewise,LZ2,acer-campestre
hercules club,Zanthoxylum clava-herculis,12',MODERATELY Firewise (2),2,Moderately Firewise,LZ2,zanthoxylum-clavaherculis
high bush blueberry,Vaccinium corymbosum,6',AT RISK Firewise (3),3,At Risk Firewise,LZ2,vaccinium-corymbosum
Himalayan pine,Pinus wallichiana,50',NOT Firewise (4),4,Not Firewise,LZ3,pinus-wallichiana
hinoki falsecypress,Chamaecyparis obtusa,10',NOT Firewise (4),4,Not Firewise,LZ2,chamaecyparis-obtusa
honeylocust,Gleditsia triacanthos,40',Firewise (1),1,Firewise,LZ3,gleditsia-triacanthos
hophornbeam,Ostrya virginiana,25',MODERATELY Firewise (2),2,Moderately Firewise,LZ3,ostrya-virginiana
hornbeam,Carpinus caroliniana,25',Firewise (1),1,Firewise,LZ3,carpinus-caroliniana
horsechestnut,Aesculus hippocastanum,50',MODERATELY Firewise (2),2,Moderately Firewise,LZ3,aesculus-hippocastanum
horsetail,Equisetum hyemale,3',AT RISK Firewise (3),3,At Risk Firewise,LZ2,equisetum-hyemale
hybrid rose,Rosa hybrida,3',Firewise (1),1,Firewise,LZ2,rosa-hybrida
hydrangea,Hydrangea macrophylla,4',Firewise (1),1,Firewise,LZ2,hydrangea-macrophylla
indian coralberry,Symphoricarpus orbiculatus,6',AT RISK Firewise (3),3,At Risk Firewise,LZ2,symphoricarpus-orbiculatus
Indian hawthorne,Raphiolepis indica,3',AT RISK Firewise (3),3,At Risk Firewise,LZ2,raphiolepis-indica
indigo-bush,Amorpha fruticosa,10',MODERATELY Firewise (2),2,Moderately Firewise,LZ3,amorpha-fruticosa
Italian cypress,Cupressus sempervirens,35',NOT Firewise (4),4,Not Firewise,LZ3,cupressus-sempervirens
jackman clematis,Clematis xjackmanii,10',NOT Firewise (4),4,Not Firewise,LZ2,clematis-xjackmanii
Japanese aucuba,Aucuba japonica,10',MODERATELY Firewise (2),2,Moderately Firewise,LZ3,aucuba-japonica
Japanese barberry,Berberis thunbergi,7',Firewise (1),1,Firewise,LZ2,berberis-thunbergi
Japanese black pine,Pinus thunbergiana,30',NOT Firewise (4),4,Not Firewise,LZ3,pinus-thunbergiana
Japanese camellia,Camellia japonica,15',AT RISK Firewise (3),3,At Risk Firewise,LZ3,camellia-japonica
Japanese cleyera,Ternstroemia gymnanthera,12',AT RISK Firewise (3),3,At Risk Firewise,LZ3,ternstroemia-gymnanthera
Japanese crabapple,Malus floribunda,20',MODERATELY Firewise (2),2,Moderately Firewise,LZ3,malus-floribunda
Japanese Crapemyrtle,Lagerstroemia fauriei,20',Firewise (1),1,Firewise,LZ3,lagerstroemia-fauriei
Japanese cryptomeria,Cryptomeria japonica,75',NOT Firewise (4),4,Not Firewise,LZ3,cryptomeria-japonica
Japanese cunninghamia,Cunninghamia lanceolata,50',NOT Firewise (4),4,Not Firewise,LZ3,cunninghamia-lanceolata
Japanese euonymus,Euonymus japonicus,6',AT RISK Firewise (3),3,At Risk Firewise,LZ2,euonymus-japonicus
Japanese falsecypress,Chamaecyparis pisifera,10',NOT Firewise (4),4,Not Firewise,LZ2,chamaecyparis-pisifera
Japanese flowering-quince,Chaenomeles japonica,6',MODERATELY Firewise (2),2,Moderately Firewise,LZ2,chaenomeles-japonica
Japanese holly,Ilex crenata,5',AT RISK Firewise (3),3,At Risk Firewise,LZ2,ilex-crenata
Japanese honeysuckle,Lonicera japonica,10',AT RISK Firewise (3),3,At Risk Firewise,LZ4,lonicera-japonica
Japanese kerria,Kerria japonica,6',AT RISK Firewise (3),3,At Risk Firewise,LZ2,kerria-japonica
Japanese knotweed,Polygonum japonicum (Fallopia japonica),8',NOT Firewise (4),4,Not Firewise,LZ4,polygonum-japonicum-%28fallopia-japonica%29
Japanese maple,Acer palmatum,20',MODERATELY Firewise (2),2,Moderately Firewise,LZ2,acer-palmatum
Japanese pachysandra,Pachysandra terminalis,1',AT RISK Firewise (3),3,At Risk Firewise,LZ1,pachysandra-terminalis
Japanese pagodatree,Sophora japonica,40',MODERATELY Firewise (2),2,Moderately Firewise,LZ3,sophora-japonica
Japanese pieris,Pieris japonica,8',NOT Firewise (4),4,Not Firewise,LZ2,pieris-japonica
Japanese pittosporum,Pittosporum tobira,3',NOT Firewise (4),4,Not Firewise,LZ2,pittosporum-tobira
Japanese privit,Ligustrum japonicum,20',NOT Firewise (4),4,Not Firewise,LZ3,ligustrum-japonicum
Japanese red pine,Pinus densiflora,20',NOT Firewise (4),4,Not Firewise,LZ3,pinus-densiflora
Japanese snowbell,Styrax japonicus,15',Firewise (1),1,Firewise,LZ3,styrax-japonicus
Japanese stewartia,Stewartia pseudocamellia,15',MODERATELY Firewise (2),2,Moderately Firewise,LZ3,stewartia-pseudocamellia
