usda_symbol,scientific_name,common_name,family,states,habit,duration,height,spread,light,water,soil_moisture,bloom_time,bloom_color,leaf_retention,native_status,distribution,habitat,wildlife,propagation,bloom_notes,conditions_comments,fruit_type,soil_description,state
AGSC5,Agrostis scabra,,". If you are not sure what you are looking for, try the","OR,WA",Grass/Grass-like,Perennial,"of  the  plant.    At  first,  the",,Sun,Medium,Dry,"Mar ,  Apr",Yellow,,L48,USA:,Moist  meadows;  streamsides;  open  woods.,,protocol,,"When  A.  hiemalis  is  separated  from  A.  scabra,  its  range  is  from  the  eastern  U.S.  to  WI,  KS  &  TX.    Without  A.  hiemalis,  the  range  of  A.  scabra  does  not  include  the  extreme  s.e.  U.S.",Caryopsis,"Mucky  to  moist,  sandy  soils.",OR
ALCE2,Allium cernuum,,". If you are not sure what you are looking for, try the","OR,WA",at.,Perennial,,,Sun,,Moist,"Jun ,  Jul ,  Aug","White ,  Pink",,L48,USA:,Dry  to  moist  prairies;  stream  banks;  moist  areas  at  high  altitudes,Bulbs  are  utilized  by  bears  and  ground  squirrels.    Elk  and  deer  graze  the  early  spring  herbage.  Attracts  haistreak  butterfly.,Description:,,Nodding  onion  is  most  effectively  planted  in  small  groups.    Plants  benefit  from  being  divided  every  third  year  or  when  8-10  bulbs  appear  in  the  clump.    Some  Allium  species  can  become  weedy  in  warmer  climates.,Capsule,"Humus-rich,  neutral  to  alkaline  soils.",OR
ALRH2,Alnus rhombifolia,,". If you are not sure what you are looking for, try the","OR,WA",Tree,Perennial,"40-50  feet,  spread  to  40  feet.",ing  branches,Part  Shade,High,Wet,"Sep ,  Oct ,  Nov",Green,Deciduous,L48,USA:,Stream  banks;  mostly  below  5000  ft.,,Propagation Material:,,Fast-growing.    Alders  fix  nitrogen  and  thus  serve  as  nutrient-giving  pioneers  in  reclamation  projects.,Caryopsis,Moist  to  wet  soils.,OR
ALVA,Allium validum,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,.    Purple-pink  flowers  occur  in  tight  clusters.,,Sun,High,Moist,"Jun ,  Jul ,  Aug ,  Sep",Pink,,L48,USA:,Swampy  meadows  at  medium  &  high  elevations,,Description:,,,Capsule,Moist  soils.,OR
AMAL2,Amelanchier alnifolia,,". If you are not sure what you are looking for, try the","OR,WA",Shrub,Perennial,".    Compact  clusters  of  fragrant,  white  flowers  emerge  just  before  small,  light-green,",6-8  feet.,"Sun ,  Part  Shade ,  Shade",Medium,"Dry ,  Moist","Apr ,  May ,  Jun",White,Deciduous,L48,USA:,Moist  stream  banks  to  drier  hillsides;  open  woods,"Berries  provide  food  for  mammals  and  birds,  and  the  dense  growth  provides  shelter.  The",Description:,,This  species  has  been  developed  for  commercial,Caryopsis,Well-drained  soils.,OR
ANMA,Anaphalis margaritacea,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,,"Sun ,  Part  Shade",Medium,Dry,"Jun ,  Jul ,  Aug ,  Sep ,  Oct","White ,  Yellow",,L48,USA:,Dry  prairies;  open  woods;  roadsides;  waste  places.,Good  food  plant  for  Painted  lady  butterflies.,Description:,,,,Sandy  or  gravelly  soils.,OR
ANMU,Anemone multifida,,". If you are not sure what you are looking for, try the","OR,WA",ats  that  match  your  site.,Perennial,,,"Sun ,  Part  Shade ,  Shade",Medium,Moist,"May ,  Jun ,  Jul ,  Aug","White ,  Pink ,  Yellow",,L48,USA:,"Dryish,  gravelly  sites;  open  woods;  limestone  ridges.",,Description:,,"Because  the  species  is  so  variable  &  local,  it  is  especially  important  to  choose  material  from  nearby  sources  and  habitats  that  matches  your  site.",Achene,"Gravelly,  calcareous  soils.",OR
AQFO,Aquilegia formosa,for a flower called Aquilegia Sanguinaria. Can you help?  Does this even exist?,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,,"Sun ,  Part  Shade",Medium,"Dry ,  Moist","May ,  Jun ,  Jul ,  Aug","Red ,  Yellow",,L48,USA:,"Moist,  open  woods,  banks  &  seeps;  4000-9000  ft.",Columbine  attracts  hummingbirds.,Description:,,This  columbine  readily  maintains  itself  from  seed.,Caryopsis,"Moist,  rocky  soils,  but  will  grow  in  dry,  nutrient  poor  soil.",OR
ARCO3,Arctostaphylos columbiana,,". If you are not sure what you are looking for, try the","OR,WA",Shrub,Perennial,,"ing,","Sun ,  Part  Shade ,  Shade",Low,"Dry ,  Moist","Mar ,  Apr ,  May","White ,  Pink",Evergreen,L48,USA:,"Dry,  wooded,  rocky  or  clay  slopes  below  2500  ft.",,Description:,,One  of  the  faster  growing  manzanitas.eautiful,Caryopsis,"Dry,  rocky  or  sandy  soils.",OR
ARCO9,Arnica cordifolia,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,,Part  Shade,High,Moist,"May ,  Jun ,  Jul ,  Aug",Yellow,,L48,USA:,"Dry  or  moist,  open  or  wooded  places;  3500-10,000  ft.",,protocol,,"Dwarfed  plants,  with  stems  only  4-8  in.  high,  are  distributed  with  the  species  and  are  called  var.  pumila.",,Various  moist  or  dry  soils.,OR
ARDO3,Artemisia douglasiana,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,,Sun,Low,Moist,"Jun ,  Jul ,  Aug ,  Sep ,  Oct",White,Deciduous,L48,USA:,"Low,  waste  places;  stream  banks;  foothills  to  6000  ft.",Birds  like  the  seeds  and  use  it  for  perching  and  cover.,Description:,,Useful  in  revegetation  projects.    Pollen  is  a  cause  of  hayfever.,,Moist  to  dry  soils.,OR
ARME,Arbutus menziesii,,". If you are not sure what you are looking for, try the","OR,WA",and,Perennial,"up  to  80  feet,  spread  15-75  feet.",15-75  feet.,"Sun ,  Part  Shade",Low,"Dry ,  Moist","Mar ,  Apr ,  May",White,Evergreen,L48,USA:,Exposed  or  wooded  slopes  &  canyons  below  5000  ft.,Deer  and  birds  consume  the,Propagation Material:,,A.  menziesii  has  been  shown  to  have  a  symbiotic  relationship  with  mycorrhizal  fungi.    The  fungi  enable  the  madrone  to  take  up  nutrients  in  the  soil.    Arbutus  spp.  benefit  from  wind  protection  and  may  need  to  be  trained  early  to  central  leaders  to  offset  their  tendency  toward  shrubbiness.    A  messy,Berry,"Sandy,  acid,  well-drained  soil.",OR
ARNE,Arctostaphylos nevadensis,,". If you are not sure what you are looking for, try the","OR,WA",Shrub,Perennial,,s  3-5  ft.  by  means  of  freely  rooting  from  the  intricately  branched  stems.,Part  Shade,Low,Moist,"May ,  Jun ,  Jul",Pink,Evergreen,L48,USA:,"Moist,  open  mt.  woods;  2000-10,000  ft.",,Description:,,This  species  needs  the  winter  climate  and  snow  cover  of  its,Caryopsis,"Well-drained,  slightly  acid  soils.",OR
ARTR2,Artemisia tridentata,,". If you are not sure what you are looking for, try the","OR,WA",Shrub,Perennial,".    It  may  have  a  short  trunk  or  be  branched  from  the  base.    Small,  velvety,  silvery  leaves  have  a  sweet,  pungent  aroma  and,  en  masse,  give  a  bluish-gray  effect.","somewhat  less  than  its  height.    It  may  have  a  short  trunk  or  be  branched  from  the  base.    Small,  velvety,  silvery  leaves  have  a  sweet,  pungent  aroma  and,  en  masse,  give  a  bluish-gray  effect.",Sun,Medium,Dry,"Jun ,  Jul ,  Aug ,  Sep ,  Oct ,  Nov",Yellow,Evergreen,L48,USA:,"Open,  dry  plains;  hills;  slopes",",  particularly  during  the  winter.  It  is  browsed  by  deer,  moose,  elk,  antelope,  and  bighorn  sheep,  especially  in  late  winter  and  spring.  Sage  grouse  also  feed  heavily  on  sagebrush,  which  also  provides  nesting  sites  for  a  variety  of  songbirds.  Even  more  nutritious  than  alfalfa,  this",Description:,,"Periodic  pruning  to  remove  old  stems  rejuvenates  Artemisia  tridentata.    Plants  are  extremely  drought  tolerant  and  are  susceptible  to  root  rot  if  too  wet.    Nitrogen-fixing.    Intolerant  of  alkalinity.    Commercial  seed  of  this  species  may  belong  to  one  of  three  common  subspecies:  Basin  -  tridentata,  Mountain  -  vaseyana  &  Wyoming  -  wyomingensis.    These  subspecies  are  adapted  to  distinct  environments,  so  it  is  important  to  identify  seed  sources.        Pollen  is  a  cause  of  hayfever.",,"Dry,  rocky  soils.",OR
ARUV,Arctostaphylos uva-ursi,,". If you are not sure what you are looking for, try the","OR,WA",Shrub,Perennial,"6-12  inches,  spread  up  to  15  feet.",up  to  15  feet.,"Sun ,  Part  Shade ,  Shade",Low,"Dry ,  Moist","Mar ,  Apr ,  May ,  Jun","White ,  Pink",Evergreen,L48,USA:,"Rocky,  open  woods;  dry,  sandy  hills;  mountainous  regions",The,Propagation Material:,"Flowers  urn-shaped,  waxy,  white  tinged  with  pink.",Soil  should  not  be  compacted  around  the  plants  and  they  should  not  be  fertilized.,Caryopsis,"Rocky  or  sandy,  acid  soils.",OR
ASCA2,Asarum caudatum,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,ing  widely.,Shade,Medium,Moist,"Apr ,  May ,  Jun ,  Jul ,  Aug","Yellow ,  Green ,  Purple ,  Brown",Evergreen,L48,USA:,"Deep,  redwood  or  yellow  pine  forests  below  5000  ft.",,Propagation Material:,"Flowers  long  lasting,  hidden  by  leaves.",Wild  ginger  provides  an  extensive  ground  cover  for  large  areas.    It  can  be  too  rampant  for  smaller  sites.,Capsule,"Moist,  rich  soil.",OR
ASDE6,Aspidotis densa,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,,Part  Shade,Medium,Moist,,Not  Applicable,Evergreen,L48,USA:,"Stony,  serpentine  cliff  crevices  and  slopes.",,Description:,Not  a  flowering  plant.  Reproduces  by  spores.,"On  the  wet  side  of  the  mountains,  this",,"Cool,  well-drained  soils.",OR
ASTR2,Asplenium trichomanes,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,,"Sun ,  Shade",,Moist,,Not  Applicable,Evergreen,L48,USA:,"Woodland,  Rocky  Bluff",,Description:,Not  a  flowering  plant.  Reproduces  by  spores.,"Requires  little  special  care,  although  it  may  benefit  by  protection  from  winter  and  early  spring  winds.",,Moist  humus  among  limestone  rocks.,OR
ATFI,Athyrium filix-femina,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,,"Part  Shade ,  Shade",Medium,"Moist ,  Wet",,Not  Applicable,Deciduous,L48,USA:,"Forest,  Woodland,  Wet  Meadow,  Prairie,  Field,  Swamp,  Marsh,  Lakeshores",,Description:,Not  a  flowering  plant.  Reproduces  by  spores.,,,"Moist,  humus-rich  soils.",OR
BEOC2,Betula occidentalis,,". If you are not sure what you are looking for, try the","OR,WA",Tree,Perennial,,"ing,","Sun ,  Part  Shade ,  Shade",High,Moist,"Apr ,  May","Yellow ,  Green ,  Brown",Deciduous,L48,USA:,"Wooded,  mt.  ravines;  stream  banks;  bottomlands",,Description:,,Do  not  prune  until  summer  when  the,Caryopsis,Moist  soils.,OR
BEPA,Betula papyrifera,,". If you are not sure what you are looking for, try the","OR,WA",Tree,Perennial,,,"Sun ,  Part  Shade ,  Shade",High,Moist,Apr,"Yellow ,  Green ,  Brown",Deciduous,L48,USA:,"Low,  wet  areas;  moist  hillsides;  stream  banks","Songbirds,  ground  birds  and  mammals  use  this  species.",Description:,,"Paper  birch  is  sensitive  to  disease  and  insects,  especially  the  bronze  birch  borer,  under  unfavorable  growing  conditions.    The  species  requires  cool  summers  where  average  July  temperatures  are  below  70  degrees.    Do  not  prune  until  summer  when  the",Caryopsis,"Moist,  fertile,  cool  soils.",OR
BLSP,Blechnum spicant,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,,"Part  Shade ,  Shade",High,"Moist ,  Wet",,Not  Applicable,Evergreen,L48,USA:,"Moist  or  wet,  dense  woods",,,Not  a  flowering  plant.  Reproduces  by  spores.,A  common,,Moist  soils.,OR
BOMA7,Bolboschoenus maritimus,,". If you are not sure what you are looking for, try the","OR,WA",Grass/Grass-like,Perennial,,,Sun,Medium,Wet,"Jul ,  Aug",Green,,L48,USA:,"Marshes;  water  body  margins;  wet,  alkali  &  saline  meadows",,Commercially Avail:,,Plants  of  w.  and  c.  U.S.  often  belong  to  var.  paludosus.    The  more  eastern  var.  maritimus  varies  only  slightly  in  physical  characteristics.,Achene,"Wet,  saline  or  alkaline  soil.",OR
BRCA5,Bromus carinatus,,". If you are not sure what you are looking for, try the","OR,WA",Grass/Grass-like,".    Considered  annuals,  biennials  &  perennials,  all  appear  actually  to  be  short-lived  perennials  that  sometimes  flower  the  first  season.  The  culms  are  usually  2-4  ft.  tall  with  a  narrow  panicle.    The  branches  of  the  seed",,,Part  Shade,Low,,"Mar ,  Apr ,  May ,  Jun ,  Jul",Yellow,,L48,USA:,"A  variety  of  open  or  shaded,  dry  sites.",,Commercially Avail:,,"Has  been  known  to  persist  for  several  seasons,  so  can  be  treated  somewhat  like  a  perennial.",Caryopsis,Various  dry  soils.,OR
CACA4,Calamagrostis canadensis,,". If you are not sure what you are looking for, try the","OR,WA",Grass/Grass-like,Perennial,"of  2-5  ft.    Many  slender  stems  arise  from  small  rhizomes;  each  topped  by  a  large,  slightly  nodding,  branched  inflorescence.    The",,"Sun ,  Part  Shade ,  Shade",Medium,"Moist ,  Wet","Jun ,  Jul ,  Aug",Green,,L48,USA:,Marshes;  wet  prairies  &  open  woods,,Description:,,This  species  is  the  most  frequent  grass  associate  of  sedges  and  is  a  valuable  wetlands  restoration  species.,Caryopsis,Moist  to  wet  soils.,OR
CADE27,Calocedrus decurrens,,". If you are not sure what you are looking for, try the","OR,WA",Tree,Perennial,"50-100  feet,  spread  to  50  feet.",to  50  feet.,"Sun ,  Part  Shade",Low,Dry,"Apr ,  May",Yellow,Evergreen,L48,USA:,"Wooded,  mt.  slopes  &  canyons",,Propagation Material:,,The  growth  rate  of  incense  cedar  is  remarkably  fast  when  young  (to  20  ft.)  but  slows  to  a  crawl  thereafter.    The,Caryopsis,"Well-drained,  mesic  soils.",OR
CAMA10,Carex macrocephala,,". If you are not sure what you are looking for, try the","OR,WA",Grass/Grass-like,Perennial,.    The  large  seedhead  is  dense  and  spikelike.    Big-head  sedge  is  a,,Sun,,,"Apr ,  May ,  Jun ,  Jul",Not  Applicable,,L48,USA:,"Sandy,  coastal  beaches  &  dunes",,,Perianth,Suitable  for  seaside  gardens.,Achene,Sand.,OR
CAMA5,Calochortus macrocarpus,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,,Part  Shade,Low,Dry,"Jul ,  Aug",Purple,,L48,USA:,Dry  plains;  sagebrush  slopes;  4000-6000  ft.,,Description:,,All  Calochortus  spp.  are  extremely  difficult  in  cultivation.    Flowering  bulbs  must  be  raised  from  seed  for  any  success  and  bulbs  must  be  kept  completely  dry  from  mid-summer  to  late  fall.    Bulbs  will  protection  from  gophers  and  moles.,Capsule,"Dry,  usually  volcanic,  soils.",OR
CANO9,Callitropsis nootkatensis,,". If you are not sure what you are looking for, try the","OR,WA",Tree,Perennial,"from  15-150  ft.,  depending  mostly  on  elevation.    Mature  trees  have  a  narrow  profile,  stringy  white",,Part  Shade,Medium,Wet,Apr,Yellow,Evergreen,L48,USA:,"Moist,  sea  level  areas  in  the  north  to  timberline  areas  in  the  south",,Description:,,Callitropsis  nootkatensis  is  slow-growing  and  useful  in  urban  settings.,Caryopsis,"Coarse,  moist  soil.",OR
CAPAP6,Caltha palustrisvar.palustris,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,.,,Part  Shade,,Wet,"Jul ,  Aug",Yellow,,L48,USA:,Bogs;  stream  edges,,Description:,,,Caryopsis,"Wet,  humus-rich  soil.",OR
CARO2,Campanula rotundifolia,,". If you are not sure what you are looking for, try the","OR,WA",at  conditions.  Among  other  common  species  are  the  Southern  Harebell  (,Perennial,from  4-15  in.    The  stems  can  be  weak  so  that  the,,"Sun ,  Part  Shade ,  Shade",,Dry,"Jun ,  Jul ,  Aug ,  Sep","Blue ,  Purple",,L48,USA:,"Moist,  rocky,  mt.  slopes;  dry  meadows  &  prairies;  open  woods;  limey  cliffs;  beaches",Hummingbirds,Description:,,Harebell  is  easily  cultured  and  does  well  in  a  variety  of  sites  including  rock  gardens.    Flowers  are  long  lasting.,Capsule,"Sandy,  well-drained  soils.",OR
CARO6,Carex rostrata,,". If you are not sure what you are looking for, try the","OR,WA",Grass/Grass-like,Perennial,,,Part  Shade,High,Wet,"Jun ,  Jul ,  Aug",Not  Applicable,,L48,USA:,"Stream  and  lake  margins,  swamps  &  wet  meadows",,Commercially Avail:,Perianth,Stems  arising  from  creeping  rhizomes  can  form  a  dense  sod.,Achene,Wet  soil  to  shallow  water.,OR
CAST5,Carex stipata,,". If you are not sure what you are looking for, try the","OR,WA",Grass/Grass-like,Perennial,,,Sun,Medium,"Moist ,  Wet","Apr ,  May ,  Jun ,  Jul ,  Aug",Not  Applicable,,L48,USA:,"Low,  wet  grounds",,Commercially Avail:,Perianth,,Achene,Wet  soil  to  standing  water.,OR
CEIN3,Ceanothus integerrimus,,". If you are not sure what you are looking for, try the","OR,WA",Shrub,Perennial,,,"Sun ,  Part  Shade",Low,,"May ,  Jun ,  Jul","White ,  Pink ,  Blue",Deciduous,L48,USA:,"Dry,  mountain  slopes;  high  elevation  grasslands",,Description:,,,Capsule,"Light,  well-drained  soils.",OR
CELE3,Cercocarpus ledifolius,,". If you are not sure what you are looking for, try the","OR,WA",Shrub,Perennial,,"ing,  curved,  and  twisted  branches  and  many  stiff  twigs.  The  leaves  are  narrow  and  pinched  at  the  mid-rib,  then  bent  to  one  side,  hence  the  name  curl-leaf.    The  flowers  are  inconspicuous,  but  the  short,  spiral,  silver-haired  seed  plumes  are  eye-catching.    The  whole  plant  has  a  spicy  aroma.",Part  Shade,Low,Dry,"Jan ,  Feb ,  Mar ,  Apr ,  Dec","White ,  Yellow",Evergreen,L48,USA:,"High  altitude  desert  areas;  dry,  rocky  slopes;  4000-10,000  ft.",An  important  browse  species.,Description:,,"Adaptable,  hardy  and  trouble-free,  this  is  a  good  dwarf  specimen  tree.    The",Achene,"Dry,  nutrient-poor  soils.",OR
CESA,Ceanothus sanguineus,,". If you are not sure what you are looking for, try the","OR,WA",Shrub,Perennial,,,"Sun ,  Part  Shade ,  Shade",High,"Dry ,  Moist","May ,  Jun ,  Jul",White,Deciduous,L48,USA:,Dry  woods  &  clearings,,Commercially Avail:,,,Capsule,Well-drained  soil.,OR
CEVE,Ceanothus velutinus,,". If you are not sure what you are looking for, try the","OR,WA",.    The,Perennial,,"ing,  round-topped  habit.    The","Sun ,  Part  Shade ,  Shade",Medium,"Dry ,  Moist","Apr ,  May ,  Jun ,  Jul ,  Aug",White,Evergreen,L48,USA:,"Open,  wooded,  hillsides  &  ledges;  3500  to  10,000  ft.",,Description:,,Too  much  shade  quickly  results  in  a  leggy  specimen.    This  is  sometimes  considered  a,Capsule,"Well-drained,  rocky  soil.",OR
CHANA2,Chamerion angustifoliumssp.angustifolium,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,,Sun,High,Moist,"Jun ,  Jul ,  Aug","White ,  Pink ,  Purple",,L48,USA:,"Dry  clearings;  burned  woodlands;  roadsides;  low,  wet  places","Butterflies,  Bees",Description:,,Fireweed  can  become  weedy  in  a  garden  setting.    It  derives  its  name  from  the  fact  that  it  quickly  invades  burned  out  forests  to  form  dense  masses  of  color.    This  plant  must  have  sun.,Capsule,"Well-drained,  moist  to  dry  soils.",OR
CHCHC4,Chrysolepis chrysophyllavar.chrysophylla,,". If you are not sure what you are looking for, try the","OR,WA","is  dense  and  bushy.    Thick,  leathery,  lance-shaped  leaves  are  dark  green  on  top,  olive-yellow  underneath,  and  evergreen.    Creamy  white  spikes  of  flowers  contrast  well  with  the  dark  green  foliage.    Burs  are  chestnut-like.    Seeds  are  hard-shelled  with  a  sweet  kernel.",Perennial,,"ing  branches.    The  overall  habit  is  dense  and  bushy.    Thick,  leathery,  lance-shaped  leaves  are  dark  green  on  top,  olive-yellow  underneath,  and  evergreen.    Creamy  white  spikes  of  flowers  contrast  well  with  the  dark  green  foliage.    Burs  are  chestnut-like.    Seeds  are  hard-shelled  with  a  sweet  kernel.",Part  Shade,Medium,Dry,"Apr ,  May ,  Jun",Yellow,Evergreen,L48,USA:,"Wooded  slopes  &  dry,  fairy  open  sites",,Description:,,,Caryopsis,Drier  soils.,OR
CHGR,Cheilanthes gracillima,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,,"Sun ,  Part  Shade ,  Shade",,Dry,,Not  Applicable,Evergreen,L48,USA:,Rock  crevices  from  mid-  to  high-altitudes,,,Not  a  flowering  plant.  Reproduces  by  spores.,"Cheilanthes  gracillima  is  slow-growing,  good  for  use  in  rock  gardens,  and  does  not  transplant  well.",,"Fairly  dry,  rocks.",OR
CHLA,Chamaecyparis lawsoniana,,". If you are not sure what you are looking for, try the","OR,WA",Tree,Perennial,is  reduced  by  at  least  half.    The  pyramidal,,Part  Shade,Medium,Dry,Apr,Yellow,Evergreen,L48,USA:,Moist  slopes  &  canyons  below  4800  ft.,,Description:,,"This  species  thrives  in  a  cool,  moist  atmosphere  where  it  is  protected  from  drying  winds.    Too  moist  a  site,  however,  can  encourage  a  fungus  problem.    Otherwise  the  species  is  relatively  free  of  serious  disease  or  insect  problems.    The  leaves  of  seedlings  and  juvenile  plants  are  distinctly  different  from  those  of  adult  trees,  being  neede-like  or  awl-shaped.",Caryopsis,"Well-drained,  sandy  loam.",OR
CHSE11,Chrysolepis sempervirens,,". If you are not sure what you are looking for, try the","OR,WA",Shrub,Perennial,,"ing,  round-topped",Sun,Low,,Jun,Green,Evergreen,L48,USA:,"Dry,  rocky  slopes  &  ridges;  2500  to  11,000  ft.",,Description:,,,Caryopsis,Gravelly  or  rocky  soils.,OR
